Control ID,Control Name,Stage,Track,Current Status,MoSCoW,Justification,Phase Implementation,Remediation Impact
SC-0D,Core Directive Injection,0,SC,Active,M,"Foundational security control ensuring core directives injected at session start. Non-negotiable for policy enforcement across all stages. DORA Art. 9(4) requires documented ICT security policies.",Phase 1,CRITICAL - Blocks all downstream controls if missing
GC-0A,Audit Trail & Compliance Reporting,0,GC,Active,M,"Required for audit trail and incident reporting compliance. Mandatory for DORA Art. 17 (ICT incident management) and EU AI Act Art. 12 (record-keeping). Non-negotiable for regulatory proof.",Phase 1,CRITICAL - Missing audit trail violates regulatory requirements
GC-0B,End-to-End Traceability,0,GC,Active,M,"Foundational traceability across entire SDLC. Required by DORA Art. 8(1) (document all ICT-supported functions and assets) and EU AI Act Art. 12 (logging of AI system usage).",Phase 1,CRITICAL - Impossible to prove end-to-end compliance without traceability
GC-0C,Agent Provenance Registry,0,GC,Active,M,"Required for third-party oversight (DORA Art. 28) and deployer obligations (EU AI Act Art. 26(5)). Essential for supply chain security and monitoring AI systems.",Phase 1,CRITICAL - Missing third-party/agent oversight creates compliance gap
QC-1A,Specification Validation,1,QC,Active,M,"Establishes source of truth for all agentic actions. Prevents propagation of invalid requirements downstream. Foundational for quality and compliance.",Phase 1,HIGH - Invalid specs cascade into all subsequent stages
RC-1A,Risk Classification,1,RC,Active,M,"Required by DORA Art. 8(2) to continuously identify ICT risk sources and assess cyber threats. Foundational for AI risk management (EU AI Act Art. 9). Cannot proceed without risk tier.",Phase 1,CRITICAL - Risk management cannot proceed without classification
AC-1A,AI Risk Tier Classification,1,AC,Active,M,"Required by EU AI Act Art. 6 (classification rules for high-risk AI) and Art. 9 (risk management system). Determines entire compliance regime. Non-negotiable for AI systems.",Phase 1,CRITICAL - Determines which AI Act requirements apply
GC-1A,Intent Traceability,1,GC,Active,M,"Establishes starting point for end-to-end traceability required by DORA Art. 8(1) and EU AI Act Art. 12. Source of truth for audit trail.",Phase 1,HIGH - Root traceability point; missing here breaks downstream audit trail
SC-1A,Pre-Guardrails,1,SC,Active,M,"Required by DORA Art. 9 (ICT security policies) and EU AI Act Art. 15(4) (resilience against manipulation). Prevents malicious intent from entering development cycle.",Phase 1,HIGH - Prevents prohibited/harmful systems from starting development
QC-1B,Coherence & Conflict Resolution,1,QC,Active,S,"High-value quality control preventing conflicting requirements upstream. Not blocking but significantly improves development efficiency and reduces rework.",Phase 2,MEDIUM - Conflicting specs cause mid-cycle rework
QC-2A,Design Completeness & Standards,2,QC,Active,M,"Ensures design meets standards before coding begins. Critical gate to prevent costly rework. Required for quality assurance.",Phase 1,HIGH - Incomplete designs cascade to implementation rework
RC-2A,Design Approval,2,RC,Active,M,"Human-required control ensuring design risk is formally assessed before coding. Critical governance gate blocking code implementation.",Phase 1,HIGH - Blocks deployment of risky designs
SC-2A,Threat Model Validation,2,SC,Active,M,"Required by DORA Art. 25 (testing methodologies) and EU AI Act Art. 9 (risk management). Threat model is foundation for security testing and mitigation.",Phase 1,CRITICAL - Security testing roadmap depends on threat model
SC-2B,Stage Directive Injection,0,SC,Active,M,"Required by DORA Art. 9(4) and EU AI Act Art. 14 (human oversight). Injects stage-specific directives governing agent behavior. Non-negotiable for human oversight and policy enforcement.",Phase 1,CRITICAL - Missing stage directives break oversight chain
AC-2A,AI Component Design Review,2,AC,Active,M,"Required by EU AI Act Art. 10 (data governance), Art. 13 (transparency), and Art. 14 (human oversight). Critical gate for AI systems to address data quality, transparency, and oversight.",Phase 1,CRITICAL - Missing AI design review breaches multiple AI Act articles
